予測時間,累積雨量,降雨強度,現在放流量,累積雨量変化,切片,train_rmse,test_rmse,train_r2,test_r2,n_train,n_test
1時間先,-0.05865857922948112,4.288178266188415,0.9215786302566062,-0.05950199891433772,16.828837587798773,44.22524068092852,42.78486379517321,0.9175583887197769,0.9013374249024493,3063,766
2時間先,-0.061938651141505416,6.72083307192229,0.7979067458117788,-0.0357146623852419,47.472320865457846,71.15035218960067,69.20264679618401,0.7811103094868966,0.7727063238007135,3058,765
3時間先,-0.04609127738659201,8.659428842797116,0.6533536815629013,-0.026132384764808503,83.51546186977586,90.76377592424603,93.51248630485568,0.6351933414859491,0.6267745978412342,3053,764
4時間先,-0.0054915439121408175,8.97242151194715,0.5189939343181074,-0.15979067324444107,119.82497002550977,108.35336697115959,107.49246504166626,0.4810162769052657,0.5057973936810796,3048,763
