降雨強度範囲,状態,サンプル数,平均変化率_30分,中央値変化率_30分,95%ile変化率_30分
0-10,increasing,100,27.117199999999997,23.48833333333333,43.275499999999994
0-10,decreasing,130,24.251769230769234,19.95333333333332,42.9815
0-10,stable,3828,2.993186095138526,0.5700000000000122,12.424166666666668
10-20,increasing,26,23.933589743589742,20.213333333333328,39.45000000000001
10-20,stable,328,4.926340468909275,3.126666666666665,14.433666666666667
20-50,increasing,34,29.14764705882353,23.925000000000004,64.1021666666666
20-50,stable,90,7.318888888888889,7.773333333333335,14.774666666666667
